Município;Estado;Ano de Referência;IDHM
Bom Lugar ;MA;2000;0,38
Bom Princípio do Piauí ;PI;2000;0,35
Bom Princípio ;RS;2000;0,67
Bom Progresso ;RS;2000;0,57
Bom Repouso ;MG;2000;0,54
Bom Retiro do Sul ;RS;2000;0,64
Bom Retiro ;SC;2000;0,56
Bom Sucesso de Itararé ;SP;2000;0,54
Bom Sucesso do Sul ;PR;2000;0,64
Bom Sucesso ;MG;2000;0,59
Bom Sucesso ;PB;2000;0,46
Bom Sucesso ;PR;2000;0,57
Bonfim do Piauí ;PI;2000;0,40
Bonfim ;MG;2000;0,52
Bonfim ;RR;2000;0,46
Bonfinópolis de Minas ;MG;2000;0,57
Bonfinópolis ;GO;2000;0,55
Boninal ;BA;2000;0,44
Bonito ;BA;2000;0,33
Bonito de Minas ;MG;2000;0,34
Bonito de Santa Fé ;PB;2000;0,41
Bonito ;MS;2000;0,56
Bonito ;PA;2000;0,38
Bonito ;PE;2000;0,41
Bonópolis ;GO;2000;0,45
Boqueirão do Leão ;RS;2000;0,56
Boqueirão do Piauí ;PI;2000;0,32
Boqueirão ;PB;2000;0,43
Boquim ;SE;2000;0,44
Boquira ;BA;2000;0,41
Boracéia ;SP;2000;0,64
Borá ;SP;2000;0,65
Borba ;AM;2000;0,39
Borborema ;PB;2000;0,43
Borborema ;SP;2000;0,63
Borda da Mata ;MG;2000;0,62
Borebi ;SP;2000;0,58
Borrazópolis ;PR;2000;0,60
Bossoroca ;RS;2000;0,59
Botelhos ;MG;2000;0,60
Botucatu ;SP;2000;0,72
Botumirim ;MG;2000;0,48
Botuporã ;BA;2000;0,39
Botuverá ;SC;2000;0,60
Bozano ;RS;2000;0,62
Braço do Norte ;SC;2000;0,69
Braço do Trombudo ;SC;2000;0,63
Bragança ;PA;2000;0,46
Bragança Paulista ;SP;2000;0,69
Braganey ;PR;2000;0,54
Braga ;RS;2000;0,55
Branquinha ;AL;2000;0,31
Brasilândia de Minas ;MG;2000;0,56
Brasilândia do Sul ;PR;2000;0,58
